Queue Number,Project Number,Project Name,Generation/Fuel 1,NET MW 1,Generation/Fuel 2,NET MW 2,Generation/Fuel 3,NET MW 3,NET MW POI,PROJECT COUNTY,Project State,Study Area,PTO,POI,Voltage kV,Requested COD,Queue Date ,Application Date,Service Type
2207,54516,Alisa Solar Energy Complex 2,Photovoltaic/Solar,500.0,Storage/Battery,500.0,,,500.0,Yuma,AZ,SAN DIEGO,SDGE,NORTH GILA - HOODOO WASH (SDGE Portion Only),525,2030-06-01,2025-02-12,2024-11-18,Energy Only Requested
2328,54934,Amanece,Photovoltaic/Solar,418.992798,Storage/Battery,416.545013,,,400.0,Stanislaus,CA,PG&E FRESNO,PGAE,QUINTO SW STA- FINK SW STA 230 kV,230,2029-07-31,2025-02-12,2024-11-21,Full Capacity Deliverability Status Requested
2322,55045,Ambar Energy Storage,Storage/Battery,504.9,,,,,500.01,San Bernardino,CA,SCE METRO,SCE,LUGO 500 kV,500,2030-06-01,2025-02-12,2024-11-21,Full Capacity Deliverability Status Requested
2244,54963,Annapurna,Storage/Battery,257.0,,,,,250.0,Merced County,CA,PG&E FRESNO,PGAE,QUINTO SW STA 230 kV,230,2028-06-01,2025-02-12,2024-11-20,Full Capacity Deliverability Status Requested
2204,54897,Antlia,Storage/Battery,204.859,,,,,199.0,Monterey,CA,PG&E GBA,PGAE,MOSS LANDING PP 115 kV,115,2031-12-01,2025-02-12,2024-11-19,Full Capacity Deliverability Status Requested
2212,54730,Argenta,Photovoltaic/Solar,155.76,,,,,150.01,San Bernardino,CA,SCE NOL,SCE,PISGAH 230 kV,230,2031-05-01,2025-02-12,2024-11-20,Energy Only Requested
2219,54767,Argos Solar,Photovoltaic/Solar,352.0165,,,,,350.12,San Bernadino,CA,SCE NOL,SCE,CALCITE 230 kV,230,2030-06-01,2025-02-12,2024-11-15,Energy Only Requested
2349,54509,Aviation,Storage/Battery,600.0,Combustion Turbine/Hydrogen,600.0,,,600.0,San Bernardino,CA,SCE METRO,SCE,LUGO 500 kV,500,2028-08-01,2025-02-12,2024-11-18,Full Capacity Deliverability Status Requested
2305,54761,Bajada,Photovoltaic/Solar,352.9885,,,,,350.0,Riverside,CA,SCE EASTERN,SCE,RED BLUFF 230 kV,230,2030-06-01,2025-02-12,2024-11-15,Energy Only Requested
2333,55013,Belterra Energy Storage,Storage/Battery,514.08,,,,,500.0,Calaveras,CA,PG&E GBA,PGAE,BELLOTA 230 kV,230,2028-04-01,2025-02-12,2024-11-19,Full Capacity Deliverability Status Requested
2298,54694,Blue Star,Photovoltaic/Solar,306.352356,Storage/Battery,206.8022619,,,300.0,Kings,CA,PG&E FRESNO,PGAE,DRY LAKE SW STA 500 kV ,500,2029-03-30,2025-02-12,2024-11-21,Full Capacity Deliverability Status Requested
2248,54657,Bolt,Photovoltaic/Solar,255.4,Storage/Battery,253.8,,,250.0,Fresno,CA,PG&E FRESNO,LSPC,MANNING 500 kV,500,2031-05-01,2025-02-12,2024-11-21,Full Capacity Deliverability Status Requested
2206,54655,Bonita Bateria,Storage/Battery,102.91,,,,,100.0,Orange,CA,SAN DIEGO,SDGE,TALEGA 138 kV,138,2029-05-31,2025-02-12,2024-11-19,Full Capacity Deliverability Status Requested
2208,54656,Bonita Bateria 2,Storage/Battery,123.405,,,,,120.0,Orange,CA,SAN DIEGO,SDGE,MARGARITA 138 kV,138,2029-05-31,2025-02-12,2024-11-19,Full Capacity Deliverability Status Requested
2265,54850,Box,Photovoltaic/Solar,63.44,,,,,60.0,Riverside,CA,SCE EASTERN,SCE,RED BLUFF 230 kV,230,2029-01-01,2025-02-12,2024-12-02,Energy Only Requested
2257,54523,Bristlecone,Photovoltaic/Solar,460.95,Storage/Battery,460.14,,,450.0,Nye,NV,SCE EOP,GLW,VALLEY SWITCH 230 kV,230,2030-06-01,2025-02-12,2024-11-05,Energy Only Requested
2308,54518,Broadview,Photovoltaic/Solar,816.4,Storage/Battery,491.8,,,800.0,Fresno,CA,PG&E FRESNO,WAPA,LOS BANOS-GATES #3,500,2028-09-01,2025-02-12,2024-11-21,Full Capacity Deliverability Status Requested
2336,54696,Brown Bear,Storage/Battery,74.202262,Photovoltaic/Solar,303.785,,,300.0,Kings,CA,PG&E FRESNO,PGAE,DRY LAKE SW STA 500 kV ,500,2029-03-30,2025-02-12,2024-11-21,Full Capacity Deliverability Status Requested
2359,54697,Brundage Energy Storage,Storage/Battery,202.2668,,,,,197.0,Los Angeles,CA,SCE NORTHERN,SCE,ANTELOPE 230 kV,230,2029-06-01,2025-02-12,2024-11-20,Full Capacity Deliverability Status Requested
2353,54724,Cabrera Reliability,Storage/Battery,205.403,,,,,199.0,San Bernardino,CA,SCE METRO,SCE,LUGO 500 kV,500,2028-09-15,2025-02-12,2024-11-14,Full Capacity Deliverability Status Requested
2280,54771,Cantus,Storage/Battery,249.524,Photovoltaic/Solar,249.524,,,240.0,Merced,CA,PG&E FRESNO,PGAE,FINK SW STA 230 kV,230,2031-03-14,2025-02-12,2024-11-20,Full Capacity Deliverability Status Requested
2370,54809,Carissalito Creek,Storage/Battery,415.86,Photovoltaic/Solar,415.86,,,400.0,Merced,CA,PG&E FRESNO,PGAE,LOS BANOS 500 kV,500,2030-12-31,2025-02-12,2024-11-21,Full Capacity Deliverability Status Requested
2261,54721,Cassia,Storage/Battery,102.15,,,,,99.0,San Joaquin,CA,PG&E GBA,PGAE,LAMMERS 115 kV,115,2031-03-31,2025-02-12,2024-11-22,Full Capacity Deliverability Status Requested
2306,55012,Chronos Energy Storage,Storage/Compressed Air,516.8,,,,,500.0,San Bernardino,CA,SCE METRO,SCE,LUGO 500 kV,500,2031-11-30,2025-02-12,2024-12-02,Full Capacity Deliverability Status Requested
2277,54640,Circinus,Storage/Battery,185.643,Photovoltaic/Solar,185.643,,,180.0,Merced,CA,PG&E FRESNO,PGAE,LE GRAND 115 kV,115,2031-12-01,2025-02-12,2024-11-20,Energy Only Requested
2339,54511,Comstock,Storage/Battery,199.0,Combustion Turbine/Hydrogen,199.0,,,199.0,San Bernardino,CA,SCE METRO,SCE,LUGO 500 kV,500,2028-08-01,2025-02-12,2024-11-19,Full Capacity Deliverability Status Requested
2227,54896,Conduit Energy Storage 2,Storage/Battery,199.0,,,,,199.0,San Bernardino,CA,SCE METRO,SCE,LUGO 500 kV,500,2031-02-26,2025-02-12,2024-11-15,Full Capacity Deliverability Status Requested
2226,54667,Container,Photovoltaic/Solar,204.57,,,,,200.0,Nye,NV,SCE EOP,GLW,VALLEY SWITCH 230 kV,230,2031-06-01,2025-02-12,2024-11-18,Energy Only Requested
2344,54593,Cowboy,Photovoltaic/Solar,156.4,Storage/Battery,155.3,,,150.0,Colusa,CA,PG&E NGBA,PGAE,DELEVAN-CORTINA,230,2030-06-30,2025-02-12,2024-11-27,Energy Only Requested
2350,55001,Crusade,Storage/Battery,1029.0,,,,,1000.0,Orange,CA,SCE METRO,SCE,VIEJO 230 kV,230,2028-12-31,2025-02-12,2024-12-02,Full Capacity Deliverability Status Requested
2210,54939,Domestic Chicken,Photovoltaic/Solar,559.4,,,,,550.01,Maricopa,AZ,SAN DIEGO,SDGE,HASSAYAMPA 500 kV,500,2029-12-03,2025-02-12,2024-11-20,Energy Only Requested
2286,54774,Dove Cove,Storage/Battery,514.368,,,,,500.0,San Joaquin,CA,PG&E GBA,PGAE,TESLA 500 kV,500,2031-03-14,2025-02-12,2024-11-20,Full Capacity Deliverability Status Requested
2304,54914,Droga,Storage/Battery,101.93,,,,,100.0,Merced County,CA,PG&E FRESNO,PGAE,QUINTO SW STA 230 kV,230,2028-06-01,2025-02-12,2024-11-20,Full Capacity Deliverability Status Requested
2351,54526,Duran,Storage/Battery,300.0,Combustion Turbine/Hydrogen,300.0,,,300.0,San Bernardino,CA,SCE METRO,SCE,LUGO 500 kV,500,2028-08-01,2025-02-12,2024-11-19,Full Capacity Deliverability Status Requested
2342,54960,East Wonder,Photovoltaic/Solar,366.909332,Storage/Battery,188.82,,,350.0,Kern,CA,PG&E FRESNO,PGAE,DRY LAKE SW STA 500 kV ,500,2029-07-31,2025-02-12,2024-11-21,Full Capacity Deliverability Status Requested
2221,54840,Emerita Energy Storage,Storage/Battery,205.7,,,,,199.9,Alameda,CA,PG&E GBA,PGAE,TESLA 230 kV,230,2028-03-01,2025-02-12,2024-12-01,Full Capacity Deliverability Status Requested
2224,54674,Energia Sierra Juarez 4,Wind Turbine/Wind,309.1,,,,,299.8,"Tijuana, Mexico",CA,SAN DIEGO,SDGE,EAST COUNTY 230 kV,230,2030-03-31,2025-02-12,2024-11-27,Energy Only Requested
2216,54862,Fika,Storage/Battery,258.47,,,,,250.0,Merced,CA,PG&E FRESNO,PGAE,QUINTO SW STA 230 kV,230,2029-06-30,2025-02-12,2024-11-21,Full Capacity Deliverability Status Requested
2323,54719,Fontus,Storage/Battery,513.99,,,,,500.0,San Bernardino,CA,SCE METRO,SCE,RANCHO VISTA 230 kV,230,2031-03-31,2025-02-12,2024-11-22,Full Capacity Deliverability Status Requested
2209,54643,Fornax,Storage/Battery,103.125,Photovoltaic/Solar,103.125,,,100.0,Fresno,CA,PG&E FRESNO,PGAE,TRANQUILLITY SW STA 230 kV,230,2031-12-01,2025-02-12,2024-11-20,Energy Only Requested
2297,54693,Galadriel,Storage/Battery,317.5,,,,,300.0,Madera,CA,PG&E GBA,PGAE,TESLA 230 kV,230,2031-03-31,2025-02-12,2024-11-22,Full Capacity Deliverability Status Requested
2325,54577,Galicia Storage,Storage/Battery,505.6459,,,,,490.0,San Bernardino,CA,SCE METRO,SCE,LUGO 500 kV,500,2028-10-01,2025-02-12,2024-11-12,Full Capacity Deliverability Status Requested
2300,54629,GAMAY,Photovoltaic/Solar,200.0,Storage/Battery,200.0,,,200.0,KERN,CA,PG&E KERN,PGAE,ARCO-MIDWAY,230,2031-12-31,2025-02-12,2024-11-26,Energy Only Requested
2223,54916,Geras,Photovoltaic/Solar,133.82,Storage/Battery,133.76,,,130.0,Stanislaus County,CA,PG&E FRESNO,PGAE,FINK SW STA 230 kV,230,2028-06-01,2025-02-12,2024-11-20,Full Capacity Deliverability Status Requested
2273,54768,Goldlink,Photovoltaic/Solar,353.8145,,,,,350.0,Nye,NV,SCE EOP,GLW,LATHROP 230 kV (FUTURE),230,2030-06-01,2025-02-12,2024-11-15,Energy Only Requested
2313,54702,Gosford Solar Storage,Photovoltaic/Solar,304.630524,,,,,300.0,Kern,CA,PG&E KERN,PGAE,BITTERWATER SW STA 230 kV ,230,2029-03-30,2025-02-12,2024-11-21,Energy Only Requested
2238,54945,Grapevine 1,Photovoltaic/Solar,204.58,,,,,200.01,Nye,NV,SCE EOP,GLW,VALLEY SWITCH 230 kV,230,2031-06-01,2025-02-12,2024-11-18,Energy Only Requested
2368,54832,Green Palms,Photovoltaic/Solar,306.7,,,,,300.62,Riverside,CA,SCE EASTERN,SCE,COLORADO RIVER 230 kV,230,2030-12-31,2025-02-12,2024-11-15,Energy Only Requested
2220,54740,Hacienda,Photovoltaic/Solar,156.525,,,,,150.0,San Bernardino,CA,SCE NOL,SCE,PISGAH 230 kV,230,2030-12-01,2025-02-12,2024-11-20,Energy Only Requested
2262,54725,Helios Grid Reliability,Storage/Battery,205.4504,,,,,199.0,Calaveras,CA,PG&E GBA,PGAE,LOCKEFORD 115 kV,115,2028-09-15,2025-02-12,2024-11-14,Full Capacity Deliverability Status Requested
2327,54703,Hillside Energy Storage,Storage/Battery,1064.748473,,,,,1000.0,Los Angeles,CA,SCE NORTHERN,SCE,VINCENT 230 kV,230,2029-06-01,2025-02-12,2024-11-21,Full Capacity Deliverability Status Requested
2282,54839,Holly Oaks,Storage/Battery,128.4,,,,,125.0,Calaveras,CA,PG&E GBA,PGAE,VALLEY SPRINGS 230 kV,230,2028-03-01,2025-02-12,2024-12-01,Full Capacity Deliverability Status Requested
2263,54785,Jackrabbit Power Bank,Storage/Battery,307.62,,,,,300.0,Santa Clara,CA,PG&E GBA,PGAE,LOS ESTEROS 115 kV,115,2029-06-01,2025-02-12,2024-11-20,Full Capacity Deliverability Status Requested
2294,55004,Lagoonez,Storage/Battery,1029.0,,,,,1000.0,Los Angeles,CA,SCE METRO,SCE,LAGUNA BELL 230 kV,230,2028-12-31,2025-02-12,2024-12-02,Full Capacity Deliverability Status Requested
2275,54938,Little Hill,Storage/Battery,63.14,,,,,60.0,San Bernardino,CA,SCE METRO,SCE,MIRA LOMA 230 kV,230,2031-04-01,2025-02-12,2024-11-21,Full Capacity Deliverability Status Requested
2320,54686,Lupine Energy Center,Storage/Battery,518.0683,,,,,500.0,San Bernardino,CA,SCE METRO,SCE,LUGO 500 kV,500,2030-12-26,2025-02-12,2024-12-02,Full Capacity Deliverability Status Requested
2288,54567,Lycan Solar 2,Photovoltaic/Solar,192.2176,,,,,190.0,Riverside,CA,SCE EASTERN,SCE,RED BLUFF 500 kV,500,2028-10-01,2025-02-12,2024-11-21,Energy Only Requested
2356,54689,Maestro,Photovoltaic/Solar,304.68,Storage/Battery,304.03,,,300.0,Fresno,CA,PG&E FRESNO,PGAE,HARLAN SW STA 500 kV ,500,2029-12-01,2025-02-12,2024-12-02,Full Capacity Deliverability Status Requested
2360,54624,Maravillosa 1,Photovoltaic/Solar,204.023804,Storage/Battery,202.615998,,,200.0,Kings,CA,PG&E FRESNO,PGAE,DRY LAKE SW STA 500 kV ,500,2029-06-30,2025-02-12,2024-11-27,Full Capacity Deliverability Status Requested
2361,54625,Maravillosa 2,Photovoltaic/Solar,407.2330048,Storage/Battery,404.6370076,,,400.0,Kern,CA,PG&E FRESNO,PGAE,DRY LAKE SW STA 500 kV ,500,2029-06-30,2025-02-12,2024-11-27,Full Capacity Deliverability Status Requested
2366,55027,MATTERHORN,Wind Turbine/Wind,406.8,Storage/Battery,406.098,Photovoltaic/Solar,404.892,400.0,RIVERSIDE,CA,SCE EASTERN,SCE,DEVERS 500 kV,500,2029-12-15,2025-02-12,2024-11-21,Energy Only Requested
2279,54952,Mesquite Solar 6,Storage/Battery,154.5,Photovoltaic/Solar,154.48,,,150.0,Maricopa,AZ,SAN DIEGO,SDGE,HASSAYAMPA 500 kV,500,2028-04-30,2025-02-12,2024-11-25,Energy Only Requested
2362,54704,MidBishop,Storage/Battery,74.2022619,Photovoltaic/Solar,307.779007,,,300.0,Kings,CA,PG&E FRESNO,PGAE,DRY LAKE SW STA 500 kV ,500,2029-03-30,2025-02-12,2024-11-21,Full Capacity Deliverability Status Requested
2246,54762,Moonraker,Storage/Battery,352.7437,,,,,350.0,Kern,CA,SCE NORTHERN,SCE,WHIRLWIND 230 kV,230,2029-12-01,2025-02-12,2024-11-15,Full Capacity Deliverability Status Requested
2318,54861,Mt Baldy Energy Storage 2,Storage/Battery,204.93,,,,,199.0,San Bernardino County,CA,SCE METRO,SCE,MIRA LOMA 230 kV,230,2031-06-01,2025-02-12,2024-11-15,Full Capacity Deliverability Status Requested
2266,54634,Muon,Photovoltaic/Solar,1169.504,Storage/Battery,1169.504,,,1150.0,Fresno County,CA,PG&E KERN,PGAE,HARLAN SW STA 500 kV ,500,2028-09-30,2025-02-12,2024-11-19,Full Capacity Deliverability Status Requested
2312,55025,Musketeers,Photovoltaic/Solar,524.483704,Storage/Battery,522.019348,,,500.0,Tulare,CA,SCE NORTHERN,SCE,Magunden-Springville No.1 220 kV ,220,2029-07-31,2025-02-12,2024-11-26,Energy Only Requested
2269,54733,Nelson,Photovoltaic/Solar,103.74,,,,,100.0,Nye,NV,SCE EOP,GLW,VALLEY SWITCH 230 kV,230,2031-06-01,2025-02-12,2024-11-18,Energy Only Requested
2237,54671,Nelson Hills,Photovoltaic/Solar,204.57,,,,,200.0,Nye,NV,SCE EOP,GLW,VALLEY SWITCH 230 kV,230,2031-06-01,2025-02-12,2024-11-18,Energy Only Requested
2214,54637,Octans,Storage/Battery,103.226,Photovoltaic/Solar,103.226,,,100.0,Fresno,CA,PG&E FRESNO,PGAE,ORO LOMA 70 kV,70,2031-12-01,2025-02-12,2024-11-20,Energy Only Requested
2357,54675,Off Stream Water Storage,Hydro/Pumped-Storage Hydro,68.896962,,,,,67.4,Colusa,CA,PG&E NGBA,PGAE,DELEVAN-CORTINA,230,2030-04-01,2025-02-12,2024-11-27,Energy Only Requested
2239,54635,Pion,Storage/Battery,1167.705,,,,,1150.0,Fresno,CA,PG&E FRESNO,LSPC,MANNING 500 kV,500,2028-12-31,2025-02-12,2024-11-19,Full Capacity Deliverability Status Requested
2343,54989,Quaking Aspen,Photovoltaic/Solar,209.64296,Storage/Battery,107.902122,,,200.0,Kern,CA,PG&E FRESNO,PGAE,DRY LAKE SW STA 500 kV ,500,2029-07-31,2025-02-12,2024-11-21,Full Capacity Deliverability Status Requested
2267,54636,Quark,Photovoltaic/Solar,869.4,Storage/Battery,1175.3,,,1150.0,Fresno,CA,PG&E KERN,PGAE,HARLAN SW STA 500 kV ,500,2028-09-30,2025-02-12,2024-11-19,Full Capacity Deliverability Status Requested
2232,54672,Reflex,Photovoltaic/Solar,129.04,,,,,125.0,Riverside,CA,SCE EASTERN,SCE,RED BLUFF 230 kV,230,2029-01-01,2025-02-12,2024-12-02,Energy Only Requested
2234,54684,Ripple,Photovoltaic/Solar,945.9227,Storage/Battery,933.8717,,,900.0,Kings and Fresno,CA,PG&E KERN,PGAE,DRY LAKE SW STA 500 kV ,500,2031-10-03,2025-02-12,2024-11-29,Energy Only Requested
2341,54531,Rover,Storage/Battery,206.24,,,,,200.0,Los Angeles,CA,SCE NORTHERN,SCE,VINCENT 230 kV,230,2028-06-30,2025-02-12,2024-11-06,Full Capacity Deliverability Status Requested
2302,54866,Saguaro Energy Storage,Storage/Battery,204.93,,,,,199.0,San Bernardino,CA,SCE METRO,SCE,CHINO 230 kV,230,2029-06-01,2025-02-12,2024-11-15,Full Capacity Deliverability Status Requested
2332,54995,Separator Expansion,Storage/Battery,12.55,,,,,12.5,San Bernardino,CA,SCE EASTERN,SCE,ETIWANDA 230 kV,230,2025-06-06,2025-02-12,2024-11-15,Merchant- Full Capacity Deliverability Status Requested
2215,54669,Serenity,Photovoltaic/Solar,305.41,,,,,300.01,Nye,NV,SCE EOP,GLW,VALLEY SWITCH 230 kV,230,2031-06-01,2025-02-12,2024-11-18,Energy Only Requested
2293,54915,Shoals Energy Storage 2,Storage/Battery,461.13,,,,,450.0,Los Angeles County,CA,SCE NORTHERN,SCE,VINCENT 500 kV,500,2029-08-01,2025-02-12,2024-11-21,Full Capacity Deliverability Status Requested
2249,54665,Shoestring,Photovoltaic/Solar,135.17,Storage/Battery,134.36,,,131.0,Fresno,CA,PG&E FRESNO,LSPC,MANNING 500 kV,500,2031-05-01,2025-02-12,2024-11-21,Full Capacity Deliverability Status Requested
2268,54651,Sienna 3,Photovoltaic/Solar,288.0,Storage/Battery,288.0,,,288.0,San Bernardino,CA,SCE NOL,SCE,CALCITE 230 kV,230,2031-12-31,2025-02-12,2024-11-25,Energy Only Requested
2311,55049,Soledad Solar,Photovoltaic/Solar,562.354996,,,,,550.0,Kern,CA,SCE NORTHERN,SCE,WINDHUB 230 kV,230,2028-06-01,2025-02-12,2024-11-21,Energy Only Requested
2252,54739,Solstice A,Photovoltaic/Solar,556.0,Storage/Battery,554.6,,,550.0,Fresno,CA,PG&E FRESNO,LSPC,MANNING 500 kV,500,2031-05-01,2025-02-12,2024-11-21,Full Capacity Deliverability Status Requested
2254,54847,Solstice B,Photovoltaic/Solar,606.39,Storage/Battery,604.93,,,600.0,Fresno,CA,PG&E FRESNO,LSPC,MANNING 500 kV,500,2031-05-01,2025-02-12,2024-11-21,Full Capacity Deliverability Status Requested
2253,54848,Solstice C,Photovoltaic/Solar,204.53,Storage/Battery,203.63,,,200.0,Fresno,CA,PG&E FRESNO,LSPC,MANNING 500 kV,500,2031-05-01,2025-02-12,2024-11-21,Full Capacity Deliverability Status Requested
2251,54849,Solstice D,Photovoltaic/Solar,204.41,Storage/Solar,203.63,,,200.0,Fresno,CA,PG&E FRESNO,LSPC,MANNING 500 kV,500,2031-05-01,2025-02-12,2024-11-21,Full Capacity Deliverability Status Requested
2250,54738,Stable,Photovoltaic/Solar,376.81,Storage/Battery,373.11,,,369.0,Fresno,CA,PG&E FRESNO,LSPC,MANNING 500 kV,500,2031-05-01,2025-02-12,2024-11-21,Full Capacity Deliverability Status Requested
2331,54882,Stanley,Photovoltaic/Solar,1038.9,Storage/Battery,1032.1121,,,1000.0,Maricopa,AZ,SCE EASTERN,DCRT,CIELO AZUL 500 kV,500,2030-04-30,2025-02-12,2024-11-21,Energy Only Requested
2236,54908,Summit Valley Energy Storage,Storage/Battery,518.6815,,,,,500.0,San Bernadino,CA,SCE METRO,SCE,LUGO 500 kV,500,2032-06-01,2025-02-12,2024-11-18,Full Capacity Deliverability Status Requested
2240,54903,Sunflower,Photovoltaic/Solar,715.1,Storage/Battery,715.1,,,700.0,San Bernardino County,CA,SCE NOL,SCE,LUGO-PISGAH NO.2,230,2031-03-01,2025-02-12,2024-11-23,Energy Only Requested
2260,54905,Sunglow,Photovoltaic/Solar,372.165,Storage/Battery,372.165,,,362.0,Kings County,CA,PG&E FRESNO,LSPC,MANNING 500 kV,500,2030-10-01,2025-02-12,2024-11-22,Full Capacity Deliverability Status Requested
2319,54902,Sunvine,Photovoltaic/Solar,613.7,Storage/Battery,0.0,,,600.0,Kern County,CA,SCE NORTHERN,SCE,MAGUNDEN-PASTORIA NO.3,230,2031-03-01,2025-02-12,2024-11-22,Energy Only Requested
2285,54666,Tea Leaf Energy Storage,Storage/Battery,404.31,,,,,400.01,Alameda,CA,PG&E GBA,PGAE,TESLA 230 kV,230,2030-06-01,2025-02-12,2024-11-19,Full Capacity Deliverability Status Requested
2258,54827,Telluride,Photovoltaic/Solar,102.7,Storage/Battery,102.7,,,100.0,Fresno,CA,PG&E FRESNO,PGAE,ORO LOMA 115 kV,115,2030-10-30,2025-02-12,2024-11-15,Energy Only Requested
2301,54652,TENDRIL,Photovoltaic/Solar,100.0,Storage/Battery,100.0,,,100.0,Kern,CA,PG&E KERN,PGAE,ARCO-MIDWAY,230,2031-12-31,2025-02-12,2024-11-26,Energy Only Requested
2231,54879,Tioga Pass,Storage/Battery,103.0000006,,,,,100.0,San Joaquin,CA,PG&E GBA,PGAE,LOCKEFORD 115 kV,115,2028-01-31,2025-02-12,2024-12-02,Full Capacity Deliverability Status Requested
2272,54638,Toland Renewable Energy Park,Wind Turbine/Wind,108.0,,,,,104.8,Solano,CA,PG&E NGBA,PGAE,BIRDS LANDING SW STA 230 kV,230,2029-05-30,2025-02-12,2024-11-06,Full Capacity Deliverability Status Requested
2329,54707,Torbino Solar,Photovoltaic/Solar,507.0,,,,,450.0,Kern,CA,SCE NORTHERN,SCE,WINDHUB 500 kV,500,2029-03-30,2025-02-12,2024-11-26,Energy Only Requested
2317,54943,Twinkle,Storage/Battery,303.95,,,,,300.0,San Bernardino,CA,SCE METRO,SCE,MIRA LOMA 230 kV,230,2031-04-01,2025-02-12,2024-11-21,Full Capacity Deliverability Status Requested
2340,54859,Ulua,Storage/Battery,104.97,,,,,100.0,Los Angeles,CA,SCE METRO,SCE,EAGLE ROCK 230 kV,230,2029-06-30,2025-02-12,2024-11-21,Full Capacity Deliverability Status Requested
2321,55041,Voyager Energy Storage,Storage/Battery,105.4,,,,,101.0,Kern,CA,SCE NORTHERN,SCE,WHIRLWIND 230 kV,230,2027-06-01,2025-02-12,2024-11-21,Full Capacity Deliverability Status Requested
2259,54802,Whiskey Diggings,Photovoltaic/Solar,414.4,,,,,400.0,Sutter,CA,PG&E NGBA,PGAE,RIO OSO 230 kV,230,2030-12-31,2025-02-12,2024-12-02,Energy Only Requested
2352,55002,Yacht Rock,Storage/Battery,514.41,,,,,500.0,San Bernardino,CA,SCE METRO,SCE,CHINO 230 kV,230,2028-12-31,2025-02-12,2024-12-01,Full Capacity Deliverability Status Requested
2247,54778,Zama,Storage/Battery,352.7437,,,,,350.0,Kern,CA,SCE NORTHERN,SCE,WHIRLWIND 230 kV,230,2029-12-01,2025-02-12,2024-11-15,Full Capacity Deliverability Status Requested
2264,54682,Zeitgeist K Energy Center,Storage/Battery,258.2079,,,,,250.0,San Joaquin,CA,PG&E GBA,PGAE,KASSON 115 kV,115,2030-12-26,2025-02-12,2024-11-28,Full Capacity Deliverability Status Requested
2235,54841,Zinfandel Storage Center,Storage/Battery,153.69,,,,,150.0,San Joaquin,CA,PG&E GBA,PGAE,BELLOTA-RIVERBANK,115,2030-02-15,2025-02-12,2024-11-29,Full Capacity Deliverability Status Requested
